,Open,High,Low,Close,Volume
2017-10-25,358.6730850036207,379.3495334332412,329.1353015327343,368.9269104003906,55112442.0
2017-10-26,371.1211457748546,371.1211457748546,356.56323840790463,359.580322265625,4091966.0
2017-10-27,358.67307329292737,362.0488198650961,350.2337068625056,352.2802429199219,1122542.0
2017-10-30,352.2802756710542,362.91388351296166,348.6513580705571,360.9728393554688,1789218.0
2017-10-31,358.6730800019742,369.2222882373264,356.1623632909798,363.7156066894531,2761144.0
2017-11-01,365.00262458369417,366.2685296400538,356.3733666318618,357.82916259765625,537174.0
2017-11-02,356.5632320002564,359.7279944144599,352.3435487813185,353.5250549316406,331792.0
2017-11-03,351.0776652061515,355.29734868218696,349.1788076419355,350.2548217773437,344454.0
2017-11-06,349.38980635256723,351.05658654593066,343.9042176054858,345.0857238769531,399778.0
2017-11-07,345.0857188489125,350.23373797983805,338.65070137398175,340.4229736328125,478258.0
2017-11-08,340.1064809259126,342.2374158849516,337.1737958215385,337.59576416015625,315496.0
2017-11-09,337.9966253282163,341.7943402195445,333.3549737943706,333.9457397460937,536126.0
2017-11-10,333.3971656090019,350.23371219605025,333.3971656090019,346.8790588378906,921576.0
2017-11-13,348.14503087731634,358.2511794291557,340.73949044645843,342.5750427246094,1253674.0
2017-11-14,347.4909304315371,351.8582924792616,344.3472611254684,348.0605773925781,476390.0
2017-11-15,348.1238909505225,348.1238909505225,335.9289952564758,337.5535888671875,202598.0
2017-11-16,337.82787634184393,343.06029458083265,337.5747056145955,338.69293212890625,178418.0
2017-11-17,339.1570305291123,341.83651900644844,334.19890286663383,334.9373474121094,408048.0
2017-11-20,335.4648771414195,338.54524130255425,334.220065213624,337.51141357421875,563648.0
2017-11-21,335.95009970524666,346.35160369435835,334.6208891500412,336.0977783203125,702934.0
2017-11-22,337.5746944955385,341.28801098400834,336.30878939118026,336.9417419433594,226054.0
2017-11-23,336.3720700455568,339.5579258380173,334.0512441927189,335.12725830078125,233138.0
2017-11-24,337.490302706885,337.490302706885,334.47324426487506,335.80242919921875,163774.0
2017-11-27,335.88680878481347,336.47757478061783,331.2451569046213,332.1734924316406,395582.0
2017-11-28,331.66711213690354,337.57466884163205,331.66711213690354,336.7729187011719,312258.0
2017-11-29,336.5197433819942,340.06428765813564,335.25383839121554,338.1865234375,255894.0
2017-11-30,338.84058335248164,342.6382984834559,335.5070231022204,338.9460754394531,290020.0
2017-12-01,340.2752953567005,340.2752953567005,335.4648457570898,336.2876892089844,193472.0
2017-12-04,336.3087602113196,337.55357194024674,331.7092950959288,335.823486328125,148108.0
2017-12-05,335.80238785341953,336.7307233193155,333.3760699848906,334.7474670410156,122772.0
2017-12-06,335.46482029726894,338.31310650734014,331.6671053505074,337.9122314453125,218438.0
2017-12-07,335.696941163633,340.10651590670494,335.696941163633,338.69293212890625,184990.0
2017-12-08,337.15270147960365,339.5157138663604,335.6758122991548,338.1654357910156,129144.0
2017-12-11,338.37643392626364,338.86168208121217,333.35500020351475,334.09344482421875,254740.0
2017-12-12,333.3550069217198,336.7307538272562,333.3550069217198,333.502685546875,114574.0
2017-12-13,332.61651629179886,335.29600472558576,331.245119301062,332.0679626464844,88286.0
2017-12-14,331.39281770302694,332.6587226931778,327.8693924490683,328.671142578125,123936.0
2017-12-15,330.1058320708279,331.66712010269924,327.0254682946462,329.3041076660156,150466.0
2017-12-18,329.135311351103,331.1818475363886,323.6497228285846,329.979248046875,150074.0
2017-12-19,330.2113205697825,333.14400569489817,328.10147886177174,330.1480407714844,252756.0
2017-12-20,328.7344500548414,333.3550088089336,328.7344500548414,331.287353515625,124918.0
2017-12-21,332.0890965529913,333.3550016224437,329.1353180576026,329.38848876953125,155136.0
2017-12-22,328.2913762244794,330.06364844505254,326.2237210079934,326.51910400390625,200818.0
2017-12-26,327.02548365595857,329.8948633938298,325.3376101919278,328.9454345703125,264862.0
2017-12-27,329.1353072141507,329.1353072141507,322.1728295615437,322.9534606933594,487776.0
2017-12-28,322.95346702845654,326.26593403564715,320.9491173618733,321.2867126464844,162124.0
2017-12-29,321.5398686217676,321.7930393187211,317.5311694722836,318.0375366210937,220274.0
2018-01-01,317.7421588879,323.6708088927957,317.44677589997167,322.7002868652344,198018.0
2018-01-02,322.7002904461236,324.9156242478132,320.69594081602344,321.8563537597656,126604.0
2018-01-03,321.9196427664648,324.81011546670834,321.87743048137435,323.1644287109375,116316.0
