,Open,High,Low,Close,Volume
2006-04-25,22.36640349755405,31.972185928680904,22.36640349755405,24.285205841064453,61816228
2006-04-26,24.83848405807694,27.781432406190323,24.3676123223788,26.345273971557617,19373148
2006-04-27,26.83969240225488,29.900359079705,26.60425650398949,29.20582389831543,20463056
2006-04-28,27.310562980650225,28.676091848176046,24.85025867200737,27.73434829711914,5959628
2006-05-02,30.488947496877906,31.548408992908413,29.55897645774444,29.688465118408203,4608524
2006-05-03,29.78263808328996,29.99453072929517,27.96978257062644,28.22876167297364,2740424
2006-05-04,28.07572954821121,28.793809722654576,26.545396281432403,27.510683059692383,3234240
2006-05-05,27.545998962826573,30.06516225204475,27.42828101854099,28.79380989074707,6009440
2006-05-08,29.19404987844431,29.57074693698404,28.687862364047213,28.97038650512696,1815060
2006-05-09,28.84089626226723,29.288224808438844,27.42828093513577,28.12281608581543,907364
2006-05-10,28.4288834829168,28.464199225372045,27.310563014644707,27.451824188232425,679852
2006-05-11,27.734345472327256,28.53482597220865,26.721970539559944,27.81674766540528,1282028
2006-05-12,27.35764769983873,27.78143298935607,27.039809630817302,27.169300079345703,644496
2006-05-15,27.357654692587687,27.663722123941767,24.96798140993195,25.521255493164062,593580
2006-05-16,25.89794493717109,25.89794493717109,23.308150443453982,24.508872985839844,542504
2006-05-17,24.67368319181729,26.557170403521404,24.67368319181729,26.121612548828125,852884
2006-05-18,25.662512109377737,25.662512109377737,22.61361804056425,23.08448982238769,713564
2006-05-19,22.366408641416665,24.07331877457741,20.71835747836491,21.153913497924805,543540
2006-05-22,21.212774856298573,22.10743202117454,17.01024427661648,18.128564834594727,424252
2006-05-23,18.305142633821937,20.6712743294203,16.480514268392742,20.16508674621582,379968
2006-05-24,20.90670661926958,21.518839540901528,18.917272378674262,19.70598220825196,370456
2006-05-25,19.070305527140903,20.24748488066812,16.83366475543919,19.8354721069336,281860
2006-05-26,19.776613334478032,20.930249471569216,19.776613334478032,20.6712703704834,250804
2006-05-29,20.753671931101767,21.424663789436394,20.36520239325548,20.57709503173828,105988
2006-05-30,21.14214172931554,22.79019281033732,20.600638512772274,21.80136108398437,611220
2006-05-31,21.42466439324332,21.42466439324332,19.30574154116432,20.22394180297852,333520
2006-06-01,20.812533384082588,22.53121433214918,19.199797869798413,19.6118106842041,212120
2006-06-02,20.106226125362653,20.106226125362653,18.010846265900145,18.92904663085937,239024
2006-06-05,18.893730511575527,19.6353539376317,17.893127961118257,18.046161651611328,201224
2006-06-06,17.06910070282492,17.657690382232673,16.515826763428258,16.974925994873047,167460
2006-06-07,16.12736015601568,17.2574532650036,13.773001009152075,14.043752670288086,431644
2006-06-08,12.30152669942604,14.361590979234228,11.783567500879489,12.478103637695312,403988
2006-06-09,12.24266471125028,13.890715730072433,12.24266471125028,12.96074390411377,445380
2006-06-12,14.126155415907096,15.044355877187767,11.842426777378762,12.219124794006348,245524
2006-06-13,11.795338193779653,12.242666761624127,11.30092316457612,11.501043319702148,223612
2006-06-14,11.724707445341362,12.336841314028796,10.947769167888724,11.171433448791504,329444
2006-06-15,11.889512522943289,13.066691980660446,11.430412354810269,12.631135940551758,404616
2006-06-16,13.184409649919443,15.162071456654012,12.77239684835946,15.126755714416504,564496
2006-06-19,15.774204254645468,17.999072643710374,13.655281295066226,17.56351661682129,1137428
2006-06-20,17.186819473902382,18.06970403591792,16.45696859521619,16.951383590698242,693272
2006-06-21,17.186817924576285,19.18802275141051,17.186817924576285,18.39931297302246,1088128
2006-06-22,18.81132828554067,20.05913744571505,18.81132828554067,19.6118106842041,814160
2006-06-23,19.023221864745604,19.63535485921496,18.83487242203192,19.082080841064453,409760
2006-06-26,19.07030466681915,19.63535109026781,17.434026157727278,17.504655838012695,253804
2006-06-27,17.50465729028364,18.12856273051556,16.068498783866062,16.904296875,257428
2006-06-28,16.974927690272096,17.422256250546305,16.127358826519213,16.64531707763672,173948
2006-06-29,16.97492251787437,17.280989806967444,16.668857025014077,16.739486694335938,112360
2006-06-30,17.186814908076506,18.363994011369417,16.963151596943955,17.19858741760254,147648
2006-07-03,17.11618772966881,17.62237523009218,16.786578935191457,16.904296875,61868
2006-07-04,17.045560024517258,17.233907672360306,16.2450775815424,16.621774673461914,80716
2006-07-05,16.17444469051468,16.880752350296685,16.17444469051468,16.610002517700195,53348
2006-07-06,16.539372635671025,16.692406336030682,16.18621877156417,16.339252471923828,70808
2006-07-07,16.904295991320396,16.904295991320396,15.550539754290366,15.891921043395996,73144
2006-07-10,15.538767948208658,16.433425003113953,15.067896192202335,15.256245613098145,64928
2006-07-11,15.303332759103316,15.856606738070392,15.03258112796483,15.150299072265623,55060
2006-07-12,14.644112720610972,15.032581405095153,14.361589469457334,14.89132022857666,39716
2006-07-13,14.443990100195515,15.715344142913818,14.432218486453348,15.30333137512207,114052
2006-07-14,14.832459665459702,15.256244945823228,14.832459665459702,15.079668045043944,66068
2006-07-17,15.421046239129938,16.598225341353597,14.938402986841512,15.986092567443848,338756
2006-07-18,16.50405300476081,17.52819861032779,15.60939783737611,17.292762756347656,787264
2006-07-19,17.657689280553697,18.199192470317225,15.656484495424278,15.939006805419922,402376
2006-07-20,16.480512401714545,16.71594829316761,16.056727078605707,16.150901794433594,128280
