,Open,High,Low,Close,Volume
2021-12-21,1554.2260081891734,1579.0538996937928,1273.7701215070051,1384.0556640625,13396843.0
2021-12-22,1384.403334424906,1494.63918099676,1382.0198324152009,1483.019775390625,2966238.0
2021-12-23,1494.639163381752,1503.5772048903473,1433.0162842666257,1448.06201171875,1123807.0
2021-12-24,1431.0797043419918,1442.997092580787,1380.480508603417,1420.9002685546875,837499.0
2021-12-27,1409.231188326983,1459.6815147379257,1392.944066485108,1442.0537109375,461438.0
2021-12-28,1449.9489119271575,1629.2062945318507,1444.9833334616535,1606.066650390625,2807900.0
2021-12-29,1618.7785119229925,1764.7665126915074,1610.8335867111002,1663.2701416015625,4256134.0
2021-12-30,1652.544502845429,1723.0557166086653,1613.9619826589983,1628.4117431640625,1432500.0
2021-12-31,1639.1373554090349,1706.1229564913344,1638.640797591583,1664.7100830078125,928755.0
2022-01-03,1678.266161357937,1834.2846057434,1669.675686738544,1807.967041015625,2137954.0
2022-01-04,1822.367231328114,1863.482243790441,1732.9868221621573,1748.1318359375,1862096.0
2022-01-05,1758.0134127119695,1794.510415705555,1734.0297648715712,1754.18994140625,671339.0
2022-01-06,1751.8559170241394,1751.8559170241394,1701.2070214639175,1715.0113525390625,513999.0
2022-01-07,1715.1108203240294,1746.2946776668186,1646.5858367673657,1663.071533203125,644523.0
2022-01-10,1668.4344280457672,1751.8561494480557,1636.0091751832929,1733.2352294921875,973111.0
2022-01-11,1732.937077983048,1803.7959754907893,1694.55325569237,1708.2581787109375,914366.0
2022-01-12,1726.77980824726,1745.8475799239975,1691.772482156266,1699.7174072265625,456389.0
2022-01-13,1707.5632304877363,1726.035159036964,1673.4000247280117,1687.45263671875,401234.0
2022-01-14,1673.3998719573697,1750.3663349108983,1673.3998719573697,1723.3536376953125,449571.0
2022-01-17,1723.055710597852,1904.2000354853667,1698.3271058366552,1842.279296875,2057901.0
2022-01-18,1842.2791154802203,1871.625608295484,1737.952274725444,1760.545654296875,612943.0
2022-01-19,1757.8147792438303,1768.7390518831987,1716.1039200753326,1744.9539794921875,464589.0
2022-01-20,1743.9110472552666,1762.780244235819,1695.2483813580525,1706.6195068359375,446602.0
2022-01-21,1700.6112931421,1708.158947968531,1572.0028142107485,1595.6885986328125,767585.0
2022-01-24,1588.9851224089418,1624.5387130148197,1401.4848294727092,1437.385986328125,1078560.0
2022-01-25,1430.5831065347993,1539.2299838560436,1402.7758680877505,1474.180908203125,1055122.0
2022-01-27,1469.8112927962177,1514.5015010231298,1415.1899271855475,1428.447998046875,630517.0
2022-01-28,1281.1193024439724,1388.1772275277815,1258.3273447413092,1341.649658203125,2477717.0
2022-01-31,1368.1160391646938,1389.368737450306,1335.8397818615238,1350.5875244140625,418116.0
2022-02-01,1379.4375960470843,1457.8937300195246,1343.1391716476082,1446.472900390625,837122.0
2022-02-02,1459.880175933126,1606.8613092923797,1459.880175933126,1596.43359375,1502054.0
2022-02-03,1598.767300015023,1643.606498525934,1540.4714563840569,1573.4925537109375,1047352.0
2022-02-04,1563.0648366832806,1584.019553870945,1484.707983095337,1495.2349853515625,706092.0
2022-02-07,1491.361788094025,1524.4325891719477,1452.5806930097335,1511.820068359375,530856.0
2022-02-08,1509.5358756829846,1536.3499997905112,1456.702168526058,1475.670654296875,360058.0
2022-02-09,1475.770031848949,1519.1691424362407,1471.7975687753312,1493.099853515625,299515.0
2022-02-10,1500.5976493469911,1523.4393078082624,1475.471776547621,1493.447265625,273948.0
2022-02-11,1487.687258645367,1489.6237856903465,1453.4247683761646,1463.7034912109375,279886.0
2022-02-14,1430.086548045823,1440.961116012946,1380.430765127565,1394.532958984375,270466.0
2022-02-15,1412.23571597892,1440.0826174207575,1364.0506797237392,1424.26953125,263358.0
2022-02-16,1437.8946395353946,1500.749023225999,1421.484858963341,1463.603271484375,338634.0
2022-02-17,1471.9077108293543,1490.654619217116,1447.044404903183,1456.542236328125,171137.0
2022-02-18,1452.0170946207854,1467.8798355522438,1415.07019700791,1423.1756591796875,169330.0
2022-02-21,1422.1810409827915,1422.1810409827915,1376.9796012133972,1379.8636474609375,213705.0
2022-02-22,1359.0281622260286,1377.4270067201242,1308.804289417822,1338.839111328125,504195.0
2022-02-23,1384.3887429664146,1447.04426797136,1372.8024192206449,1413.97607421875,568546.0
2022-02-24,1342.6185719662733,1386.0299300737558,1323.8716628530951,1358.879150390625,511305.0
2022-02-25,1417.2084472900103,1458.332331286941,1392.3451411972032,1402.389892578125,211089.0
2022-02-28,1392.3450609277272,1415.1695260439362,1366.437448911466,1390.0079345703125,239030.0
2022-03-02,1376.4325411465843,1416.1640532926724,1364.6970128271118,1379.4161376953125,189406.0
2022-03-03,1396.919785585533,1412.1361755185576,1377.426980396235,1396.2733154296875,211408.0
2022-03-04,1391.3506012117523,1479.6651125231497,1382.3998110681457,1444.50830078125,496364.0
2022-03-07,1401.2958953409525,1427.0543040710138,1374.493300623573,1384.687255859375,151465.0
2022-03-08,1388.2177473853487,1429.689812975903,1382.3997582946795,1410.793701171875,163586.0
2022-03-09,1419.8936914189048,1477.874972060206,1418.1532599242175,1467.0345458984375,209786.0
2022-03-10,1500.749007935381,1529.590440162105,1486.825557894894,1496.572021484375,261772.0
2022-03-11,1495.6770354046714,1530.5850921736746,1481.8530132155784,1501.5447998046875,118380.0
2022-03-14,1508.4069145488118,1523.6233055214934,1485.8310825385845,1502.6883544921875,148795.0
2022-03-15,1501.9922556317829,1513.6282338151473,1444.1105301305054,1456.2437744140625,134234.0
2022-03-16,1480.6595898875112,1523.871965473756,1479.9136907365205,1511.241455078125,208362.0
2022-03-17,1525.6123730606405,1607.561849453465,1516.6615833881856,1525.31396484375,559720.0
2022-03-21,1546.497576666525,1586.2788648122878,1541.5746908196295,1568.5264892578125,200660.0
2022-03-22,1574.344462340382,1575.3389945339009,1546.4975609218534,1564.349365234375,120182.0
2022-03-23,1574.344489627549,1616.114842479322,1558.0839122622515,1566.885498046875,250409.0
2022-03-24,1567.3827297794735,1570.3663263463125,1521.6342490879406,1535.90576171875,150347.0
2022-03-25,1541.226531112591,1551.5200367007894,1519.6452305229825,1523.324951171875,91976.0
2022-03-28,1529.2425426357895,1531.0326278489213,1443.0662986592656,1467.58154296875,125577.0
2022-03-29,1477.8749217074603,1518.600968734418,1477.8749217074603,1507.213623046875,148609.0
