,Open,High,Low,Close,Volume
2016-11-07,692.3006343331774,727.720658509865,692.3006343331774,717.3764038085938,39877617.0
2016-11-08,722.0856519688984,795.260160639929,721.2806446947587,787.2504272460938,13494986.0
2016-11-09,685.8606080865757,763.7041574541144,653.8215564807944,742.3716430664062,4437003.0
2016-11-10,760.7256471408805,784.3926830935044,728.5256527056573,751.1461791992188,2471582.0
2016-11-11,733.9190705289454,763.0600937940326,731.1015453371305,747.7650756835938,1795043.0
2016-11-15,744.6256062299183,744.6256062299183,642.3905739173995,651.0845336914062,1842098.0
2016-11-16,685.1360780561635,696.1645584769104,637.3592844878832,642.1490478515625,2192637.0
2016-11-17,649.8367551055997,656.3170334270053,641.1830166591491,651.3259887695312,778509.0
2016-11-18,655.2705642017754,664.9305325821856,646.1740415752872,655.1900634765625,517718.0
2016-11-21,656.8805876236032,657.5648141359173,638.6070413973389,643.6785278320312,531668.0
2016-11-22,648.0256016199158,655.1901073207308,641.0623180843144,650.641845703125,463798.0
2016-11-23,656.0756296415909,669.7606354963758,641.183112801518,663.6426391601562,501087.0
2016-11-24,656.0755727371402,661.9922870680078,650.0782983583339,653.0970458984375,201288.0
2016-11-25,654.4655056545561,714.0355630626213,653.056772735027,699.9077758789062,1378131.0
2016-11-28,692.2200798935839,695.5205502066766,677.5690669853029,682.4393310546875,385786.0
2016-11-29,688.154814277117,726.9155855470175,685.0555661493148,718.382568359375,1035684.0
2016-11-30,722.9711085140488,742.2106639301809,721.6831561839819,730.014892578125,465625.0
2016-12-01,734.9656188008333,740.6006101602604,725.3055912399816,729.3306274414062,470655.0
2016-12-02,726.1106791728268,736.4952144039668,716.4506505384577,729.6929321289062,282397.0
2016-12-05,724.5006519827645,729.1294143874562,680.2256055479763,687.993896484375,1589317.0
2016-12-06,692.3005549087615,702.7655298417501,692.2602748875635,696.8488159179688,600039.0
2016-12-07,701.1958454481367,706.3076118605366,685.8606055335055,692.4213256835938,967268.0
2016-12-08,695.9230770713197,723.5345886311322,693.8703382320873,717.8995971679688,528282.0
2016-12-09,718.0605863020561,720.7976109224633,699.1833148000782,704.9390869140625,463242.0
2016-12-12,694.9169000778737,703.0071346180282,685.0556494429101,687.993896484375,166250.0
2016-12-13,688.2353384598789,699.5456012736968,685.3373123764902,689.08056640625,244095.0
2016-12-14,690.2478163713255,695.9230879472217,684.6933255468667,686.2228393554688,355156.0
2016-12-15,685.8606238092666,692.3006227038877,684.2506092549688,690.610107421875,282846.0
2016-12-16,694.1118701396533,704.053621182179,686.9070845591476,700.3506469726562,692843.0
2016-12-19,695.037629389361,711.1376572430886,689.362416732368,698.7808837890625,142892.0
2016-12-20,702.7655498596921,707.5955931871738,681.1513135981922,689.7648315429688,297659.0
2016-12-21,688.2755655437635,712.4256051615937,672.6183227822289,706.1868286132812,329159.0
2016-12-22,706.7906331895384,706.7906331895384,674.2283558660253,676.7640991210938,152377.0
2016-12-23,680.2255052922565,686.6252828485195,669.1165246163631,673.5037841796875,121445.0
2016-12-26,669.7605392532824,677.5690498468398,649.6757577238955,652.4530029296875,248315.0
2016-12-27,656.0755984887785,673.061074240913,656.0755984887785,668.4323120117188,145967.0
2016-12-28,670.5655626184372,677.7702883184245,664.1255641230488,665.4537963867188,100526.0
2016-12-29,664.9305776961237,671.7328597768471,661.7106077917092,667.6676025390625,40324.0
2016-12-30,667.6675487291111,690.4490757062731,667.6675487291111,676.2810668945312,174338.0
2017-01-02,681.8355772819797,687.4705688156376,664.7293212034275,670.2435913085938,150327.0
2017-01-03,672.13528882593,675.9590434472694,666.5405183263234,668.5127563476562,435424.0
2017-01-04,673.7855287848964,675.3955432312131,656.3572707099332,657.96728515625,89851.0
2017-01-05,660.181073524739,673.7855779435528,659.9798513655516,660.94580078125,175545.0
2017-01-06,664.7293346698806,664.7293346698806,652.0505589703696,654.5460815429688,89845.0
2017-01-09,659.2553499389602,660.9055852183851,653.6605789475931,655.7133178710938,62445.0
2017-01-10,654.5461047074994,659.4968700025469,652.0505820465831,652.8153686523438,66553.0
2017-01-11,653.6605896012514,666.2990855860753,652.3725779192165,653.7813110351562,319773.0
2017-01-12,654.5460667958936,660.100557590416,652.0505442795192,653.2178344726562,127878.0
2017-01-13,654.4655440262617,656.8805657349602,648.8305526951989,650.7222900390625,264599.0
2017-01-16,653.5398257751644,655.9145674985915,644.8055267842057,646.6570434570312,148025.0
2017-01-17,652.69458142966,676.6031203313272,644.161563351038,666.5405883789062,384018.0
2017-01-18,670.5656428199779,674.5101193826794,664.2061442867,667.9091186523438,316439.0
2017-01-19,668.3920792298801,675.3955831628623,661.8715796593498,670.3240966796875,111084.0
2017-01-20,670.9681263611019,673.6245911265019,666.1783625910449,667.546875,167512.0
2017-01-23,666.3796032778286,672.1755966719415,664.3268642686222,667.868896484375,185944.0
2017-01-24,668.1505900180642,700.2701434543036,667.3455827316852,692.8641357421875,870532.0
2017-01-25,705.864825488919,764.5091589213191,700.3506147924847,756.0968627929688,1619474.0
2017-01-27,752.6756612094667,760.7256749431189,742.8144106994503,745.2696533203125,227537.0
2017-01-30,738.3466082098759,741.2848550485461,730.9406007380384,732.8323974609375,76789.0
2017-01-31,733.9594537389137,759.9207339827984,716.2494694367567,728.2842407226562,265639.0
2017-02-01,725.8690780251115,745.7525783916248,724.782347939383,736.454833984375,354628.0
2017-02-02,737.5818370860211,750.8643374448584,736.5756077318517,745.8733520507812,259131.0
2017-02-03,747.0406522924967,759.9206502424807,743.94140389808,756.660400390625,575506.0
2017-02-06,756.7006847450427,800.9757298586418,750.3411864623902,791.7987060546875,961619.0
2017-02-07,783.265639239017,806.6106712776998,774.33011817983,798.3594360351562,278700.0
2017-02-08,798.9228835952642,867.7906897060396,787.2906772341653,848.3096923828125,890781.0
2017-02-09,842.0307130046174,869.4007225693788,829.150715482679,849.67822265625,737583.0
2017-02-10,847.6657128642211,912.387763338902,841.4269955181251,904.0157470703124,779423.0
2017-02-13,909.650772685582,910.4557799316055,861.3506938595787,879.1412353515625,394067.0
2017-02-14,877.4506977898174,917.137257395282,867.8309504286641,895.7242431640625,399915.0
2017-02-15,897.3342900539388,905.1428016174464,870.2057810699096,885.62158203125,320525.0
2017-02-16,877.5312153172694,909.5702662163836,877.5312153172694,903.4522705078124,169856.0
2017-02-17,903.6938082579236,909.1677983892506,869.6020172135263,875.3980102539062,306629.0
2017-02-20,866.1806812569397,912.790182526106,850.0403760029852,894.0739135742188,336507.0
2017-02-21,886.3863225629151,908.4030651325518,886.3863225629151,897.5758056640625,231973.0
2017-02-22,897.4147452077087,901.6007829958976,882.079505078556,884.8567504882812,117789.0
